fur_color,height,weight,eye_color,prehistoric
brown,220 cm,266 kg,brown,TRUE
red,275 cm,69 kg,brown,TRUE
orange,247 cm,65 kg,blue,TRUE
black,298 cm,228 kg,brown,TRUE
red,219 cm,273 kg,green,TRUE
brown,289 cm,242 kg,green,TRUE
brown,204 cm,114 kg,black,FALSE
dark grey,210 cm,131 kg,black,FALSE
dark grey,269 cm,103 kg,brown,TRUE
calico,242 cm,233 kg,green,TRUE
black,292 cm,254 kg,green,TRUE
red,287 cm,62 kg,green,TRUE
grey,280 cm,263 kg,brown,TRUE
black,300 cm,102 kg,brown,TRUE
grey,216 cm,261 kg,brown,TRUE
brown,248 cm,73 kg,blue,TRUE
calico,292 cm,157 kg,black,TRUE
brown,247 cm,168 kg,black,TRUE
black,217 cm,216 kg,blue,FALSE
white,286 cm,210 kg,blue,TRUE
calico,207 cm,157 kg,brown,FALSE
grey,275 cm,252 kg,green,TRUE
dark grey,282 cm,178 kg,black,TRUE
black,218 cm,76 kg,blue,FALSE
dark grey,262 cm,177 kg,brown,TRUE
red,275 cm,151 kg,blue,TRUE
black,209 cm,178 kg,green,FALSE
grey,259 cm,203 kg,black,TRUE
red,205 cm,269 kg,brown,TRUE
red,298 cm,155 kg,black,TRUE
orange,221 cm,270 kg,black,TRUE
brown,278 cm,172 kg,black,TRUE
grey,209 cm,98 kg,green,FALSE
red,287 cm,123 kg,green,TRUE
dark grey,262 cm,234 kg,black,TRUE
brown,249 cm,101 kg,brown,TRUE
dark grey,285 cm,242 kg,black,TRUE
grey,258 cm,186 kg,green,TRUE
calico,267 cm,205 kg,black,TRUE
orange,217 cm,79 kg,black,FALSE
red,253 cm,211 kg,blue,TRUE
dark grey,270 cm,124 kg,green,TRUE
black,291 cm,91 kg,blue,TRUE
brown,242 cm,113 kg,black,TRUE
red,261 cm,261 kg,green,TRUE
grey,215 cm,217 kg,black,FALSE
red,220 cm,188 kg,green,TRUE
dark grey,231 cm,159 kg,green,TRUE
calico,229 cm,225 kg,brown,TRUE
orange,236 cm,209 kg,green,TRUE
white,215 cm,280 kg,green,TRUE
brown,258 cm,92 kg,brown,TRUE
red,267 cm,210 kg,black,TRUE
dark grey,240 cm,138 kg,green,TRUE
grey,252 cm,129 kg,black,TRUE
dark grey,231 cm,149 kg,green,TRUE
grey,287 cm,244 kg,blue,TRUE
red,242 cm,222 kg,green,TRUE
grey,266 cm,89 kg,brown,TRUE
red,299 cm,118 kg,black,TRUE
red,229 cm,244 kg,brown,TRUE
brown,203 cm,200 kg,blue,FALSE
red,295 cm,139 kg,blue,TRUE
red,217 cm,62 kg,brown,FALSE
red,292 cm,161 kg,brown,TRUE
dark grey,267 cm,199 kg,brown,TRUE
black,241 cm,152 kg,green,TRUE
grey,243 cm,144 kg,black,TRUE
calico,228 cm,228 kg,brown,TRUE
dark grey,266 cm,155 kg,green,TRUE
white,205 cm,213 kg,brown,TRUE
red,270 cm,128 kg,green,TRUE
brown,259 cm,94 kg,black,TRUE
orange,227 cm,99 kg,green,TRUE
calico,255 cm,73 kg,green,TRUE
calico,284 cm,225 kg,blue,TRUE
calico,216 cm,75 kg,blue,FALSE
calico,218 cm,264 kg,brown,TRUE
orange,213 cm,96 kg,brown,FALSE
brown,258 cm,149 kg,black,TRUE
calico,271 cm,81 kg,blue,TRUE
calico,222 cm,129 kg,brown,TRUE
grey,285 cm,257 kg,black,TRUE
white,286 cm,87 kg,black,TRUE
black,248 cm,243 kg,brown,TRUE
orange,228 cm,162 kg,blue,TRUE
calico,292 cm,132 kg,green,TRUE
orange,300 cm,85 kg,blue,TRUE
orange,217 cm,234 kg,black,FALSE
brown,257 cm,264 kg,blue,TRUE
dark grey,260 cm,262 kg,brown,TRUE
brown,292 cm,275 kg,blue,TRUE
calico,298 cm,177 kg,blue,TRUE
black,288 cm,181 kg,blue,TRUE
white,227 cm,75 kg,green,TRUE
black,297 cm,111 kg,blue,TRUE
red,201 cm,249 kg,green,TRUE
dark grey,249 cm,209 kg,brown,TRUE
black,264 cm,159 kg,blue,TRUE
dark grey,300 cm,64 kg,blue,TRUE
calico,254 cm,90 kg,black,TRUE
black,217 cm,211 kg,brown,FALSE
red,263 cm,228 kg,brown,TRUE
red,258 cm,238 kg,blue,TRUE
black,250 cm,162 kg,blue,TRUE
brown,216 cm,252 kg,green,TRUE
white,234 cm,172 kg,brown,TRUE
grey,249 cm,64 kg,black,TRUE
white,215 cm,264 kg,blue,TRUE
orange,270 cm,269 kg,brown,TRUE
white,246 cm,249 kg,blue,TRUE
orange,298 cm,82 kg,green,TRUE
dark grey,280 cm,216 kg,brown,TRUE
white,287 cm,242 kg,brown,TRUE
calico,225 cm,98 kg,black,TRUE
dark grey,252 cm,230 kg,black,TRUE
white,291 cm,194 kg,black,TRUE
calico,219 cm,269 kg,green,TRUE
brown,236 cm,258 kg,blue,TRUE
red,252 cm,132 kg,black,TRUE
brown,218 cm,121 kg,brown,FALSE
dark grey,242 cm,119 kg,brown,TRUE
grey,249 cm,243 kg,black,TRUE
black,220 cm,188 kg,green,TRUE
dark grey,231 cm,124 kg,brown,TRUE
brown,240 cm,163 kg,green,TRUE
grey,255 cm,78 kg,black,TRUE
grey,230 cm,209 kg,black,TRUE
black,266 cm,269 kg,green,TRUE
red,300 cm,198 kg,green,TRUE
dark grey,265 cm,159 kg,brown,TRUE
white,221 cm,70 kg,black,TRUE
grey,203 cm,114 kg,brown,FALSE
calico,227 cm,268 kg,black,TRUE
white,263 cm,116 kg,brown,TRUE
dark grey,225 cm,133 kg,blue,TRUE
grey,291 cm,100 kg,green,TRUE
red,210 cm,194 kg,black,FALSE
grey,273 cm,153 kg,green,TRUE
black,223 cm,132 kg,black,TRUE
grey,292 cm,257 kg,black,TRUE
brown,258 cm,86 kg,green,TRUE
black,241 cm,83 kg,brown,TRUE
black,219 cm,82 kg,black,FALSE
dark grey,247 cm,113 kg,blue,TRUE
white,230 cm,180 kg,green,TRUE
grey,245 cm,183 kg,blue,TRUE
calico,207 cm,165 kg,blue,FALSE
black,246 cm,156 kg,blue,TRUE
grey,300 cm,125 kg,blue,TRUE
white,275 cm,225 kg,brown,TRUE
black,218 cm,99 kg,brown,FALSE
red,287 cm,91 kg,brown,TRUE
black,270 cm,157 kg,brown,TRUE
dark grey,204 cm,192 kg,brown,FALSE
grey,261 cm,231 kg,brown,TRUE
red,275 cm,218 kg,brown,TRUE
black,261 cm,240 kg,blue,TRUE
red,223 cm,250 kg,blue,TRUE
calico,279 cm,101 kg,brown,TRUE
calico,226 cm,60 kg,black,TRUE
brown,271 cm,150 kg,black,TRUE
orange,257 cm,99 kg,blue,TRUE
brown,254 cm,221 kg,blue,TRUE
orange,268 cm,164 kg,blue,TRUE
dark grey,279 cm,188 kg,black,TRUE
red,222 cm,219 kg,brown,TRUE
dark grey,222 cm,131 kg,brown,TRUE
black,300 cm,239 kg,brown,TRUE
black,228 cm,254 kg,blue,TRUE
red,256 cm,68 kg,blue,TRUE
orange,246 cm,80 kg,brown,TRUE
red,262 cm,215 kg,blue,TRUE
brown,204 cm,140 kg,black,FALSE
calico,200 cm,256 kg,black,TRUE
orange,237 cm,267 kg,black,TRUE
black,261 cm,192 kg,brown,TRUE
calico,212 cm,77 kg,blue,FALSE
brown,284 cm,88 kg,black,TRUE
orange,209 cm,216 kg,brown,FALSE
orange,222 cm,185 kg,green,TRUE
red,217 cm,165 kg,blue,FALSE
orange,274 cm,234 kg,blue,TRUE
white,223 cm,71 kg,brown,TRUE
calico,252 cm,277 kg,blue,TRUE
brown,274 cm,254 kg,brown,TRUE
white,289 cm,208 kg,brown,TRUE
grey,241 cm,121 kg,brown,TRUE
calico,231 cm,267 kg,blue,TRUE
black,275 cm,63 kg,green,TRUE
black,219 cm,183 kg,brown,FALSE
grey,222 cm,202 kg,blue,TRUE
dark grey,261 cm,115 kg,blue,TRUE
orange,213 cm,231 kg,blue,FALSE
calico,247 cm,69 kg,blue,TRUE
calico,292 cm,190 kg,black,TRUE
orange,226 cm,133 kg,blue,TRUE
grey,244 cm,156 kg,black,TRUE
red,297 cm,147 kg,black,TRUE
grey,233 cm,178 kg,black,TRUE
brown,263 cm,160 kg,brown,TRUE
white,255 cm,186 kg,black,TRUE
red,232 cm,134 kg,brown,TRUE
grey,269 cm,140 kg,brown,TRUE
black,283 cm,133 kg,blue,TRUE
black,223 cm,109 kg,black,TRUE
dark grey,257 cm,222 kg,black,TRUE
calico,256 cm,271 kg,green,TRUE
white,248 cm,100 kg,green,TRUE
calico,279 cm,172 kg,black,TRUE
orange,205 cm,61 kg,green,FALSE
red,298 cm,188 kg,green,TRUE
black,290 cm,127 kg,black,TRUE
dark grey,238 cm,97 kg,black,TRUE
red,245 cm,145 kg,green,TRUE
red,293 cm,176 kg,blue,TRUE
orange,250 cm,61 kg,blue,TRUE
orange,217 cm,78 kg,blue,FALSE
grey,233 cm,136 kg,green,TRUE
grey,241 cm,221 kg,black,TRUE
brown,208 cm,230 kg,blue,FALSE
black,270 cm,98 kg,green,TRUE
red,216 cm,99 kg,blue,FALSE
brown,255 cm,171 kg,black,TRUE
black,252 cm,266 kg,blue,TRUE
white,205 cm,237 kg,brown,TRUE
red,280 cm,89 kg,green,TRUE
calico,274 cm,71 kg,blue,TRUE
brown,272 cm,154 kg,green,TRUE
red,215 cm,200 kg,black,FALSE
white,265 cm,193 kg,black,TRUE
white,213 cm,101 kg,green,TRUE
brown,244 cm,274 kg,black,TRUE
orange,203 cm,234 kg,green,FALSE
dark grey,211 cm,211 kg,brown,FALSE
brown,289 cm,201 kg,blue,TRUE
grey,286 cm,197 kg,blue,TRUE
white,209 cm,60 kg,blue,TRUE
red,218 cm,175 kg,brown,FALSE
brown,281 cm,69 kg,green,TRUE
calico,248 cm,63 kg,green,TRUE
brown,210 cm,253 kg,green,TRUE
orange,248 cm,71 kg,black,TRUE
dark grey,256 cm,101 kg,black,TRUE
black,257 cm,211 kg,green,TRUE
red,217 cm,89 kg,green,FALSE
calico,231 cm,187 kg,blue,TRUE
black,217 cm,226 kg,black,FALSE
calico,221 cm,202 kg,brown,TRUE
red,286 cm,181 kg,green,TRUE
calico,230 cm,177 kg,black,TRUE
white,204 cm,224 kg,black,TRUE
grey,279 cm,249 kg,black,TRUE
orange,230 cm,110 kg,black,TRUE
white,230 cm,200 kg,green,TRUE
dark grey,244 cm,133 kg,black,TRUE
grey,219 cm,162 kg,brown,FALSE
red,218 cm,130 kg,black,FALSE
dark grey,296 cm,228 kg,black,TRUE
dark grey,245 cm,90 kg,brown,TRUE
calico,257 cm,108 kg,black,TRUE
white,210 cm,65 kg,green,TRUE
black,280 cm,245 kg,blue,TRUE
black,227 cm,86 kg,green,TRUE
white,216 cm,265 kg,black,TRUE
white,298 cm,169 kg,green,TRUE
red,265 cm,212 kg,black,TRUE
calico,219 cm,251 kg,green,TRUE
red,231 cm,164 kg,black,TRUE
brown,260 cm,248 kg,green,TRUE
orange,229 cm,162 kg,blue,TRUE
calico,252 cm,235 kg,brown,TRUE
black,227 cm,272 kg,black,TRUE
black,253 cm,113 kg,black,TRUE
white,261 cm,164 kg,blue,TRUE
black,272 cm,234 kg,green,TRUE
white,260 cm,83 kg,black,TRUE
white,216 cm,138 kg,brown,TRUE
grey,241 cm,159 kg,black,TRUE
brown,232 cm,266 kg,blue,TRUE
calico,220 cm,188 kg,brown,TRUE
dark grey,226 cm,199 kg,black,TRUE
black,289 cm,235 kg,green,TRUE
red,282 cm,217 kg,brown,TRUE
black,282 cm,270 kg,green,TRUE
dark grey,282 cm,60 kg,green,TRUE
brown,274 cm,125 kg,green,TRUE
grey,297 cm,137 kg,blue,TRUE
black,243 cm,192 kg,black,TRUE
dark grey,269 cm,64 kg,green,TRUE
brown,285 cm,199 kg,brown,TRUE
red,288 cm,246 kg,black,TRUE
orange,287 cm,161 kg,green,TRUE
black,243 cm,151 kg,black,TRUE
orange,253 cm,146 kg,brown,TRUE
red,215 cm,162 kg,blue,FALSE
orange,233 cm,101 kg,green,TRUE
grey,257 cm,99 kg,blue,TRUE
black,224 cm,142 kg,black,TRUE
orange,267 cm,280 kg,brown,TRUE
calico,244 cm,108 kg,black,TRUE
black,273 cm,93 kg,green,TRUE
red,242 cm,184 kg,black,TRUE
orange,296 cm,247 kg,black,TRUE
grey,211 cm,224 kg,green,FALSE
orange,214 cm,259 kg,blue,TRUE
grey,219 cm,220 kg,green,FALSE
grey,277 cm,123 kg,green,TRUE
black,273 cm,165 kg,green,TRUE
red,213 cm,236 kg,brown,FALSE
dark grey,280 cm,211 kg,black,TRUE
grey,283 cm,84 kg,green,TRUE
black,294 cm,85 kg,black,TRUE
dark grey,257 cm,112 kg,brown,TRUE
black,239 cm,150 kg,blue,TRUE
red,266 cm,108 kg,green,TRUE
dark grey,264 cm,109 kg,brown,TRUE
black,210 cm,80 kg,black,FALSE
black,296 cm,242 kg,green,TRUE
white,217 cm,271 kg,blue,TRUE
black,233 cm,191 kg,brown,TRUE
black,205 cm,110 kg,black,FALSE
black,213 cm,101 kg,green,FALSE
calico,291 cm,129 kg,brown,TRUE
red,271 cm,164 kg,blue,TRUE
grey,233 cm,218 kg,brown,TRUE
dark grey,275 cm,250 kg,green,TRUE
calico,280 cm,89 kg,brown,TRUE
dark grey,271 cm,76 kg,blue,TRUE
dark grey,213 cm,85 kg,brown,FALSE
brown,241 cm,148 kg,blue,TRUE
red,275 cm,224 kg,green,TRUE
orange,272 cm,235 kg,green,TRUE
calico,225 cm,118 kg,green,TRUE
brown,250 cm,229 kg,black,TRUE
black,289 cm,145 kg,green,TRUE
black,282 cm,246 kg,brown,TRUE
white,288 cm,238 kg,green,TRUE
white,230 cm,271 kg,brown,TRUE
calico,262 cm,222 kg,black,TRUE
calico,266 cm,110 kg,green,TRUE
brown,282 cm,112 kg,black,TRUE
red,236 cm,172 kg,brown,TRUE
orange,281 cm,134 kg,brown,TRUE
calico,284 cm,243 kg,brown,TRUE
white,244 cm,271 kg,black,TRUE
dark grey,254 cm,96 kg,brown,TRUE
brown,232 cm,226 kg,black,TRUE
dark grey,242 cm,153 kg,black,TRUE
calico,222 cm,280 kg,green,TRUE
grey,244 cm,124 kg,green,TRUE
red,267 cm,162 kg,brown,TRUE
red,210 cm,64 kg,blue,FALSE
calico,266 cm,251 kg,blue,TRUE
white,207 cm,142 kg,blue,TRUE
red,270 cm,80 kg,green,TRUE
white,205 cm,209 kg,green,TRUE
grey,254 cm,115 kg,brown,TRUE
red,264 cm,160 kg,green,TRUE
grey,298 cm,120 kg,green,TRUE
calico,210 cm,116 kg,green,FALSE
black,232 cm,279 kg,blue,TRUE
brown,246 cm,185 kg,brown,TRUE
calico,222 cm,100 kg,black,TRUE
orange,219 cm,129 kg,brown,FALSE
black,224 cm,251 kg,brown,TRUE
white,287 cm,270 kg,green,TRUE
brown,299 cm,169 kg,green,TRUE
red,235 cm,196 kg,brown,TRUE
brown,212 cm,277 kg,blue,TRUE
dark grey,212 cm,246 kg,black,TRUE
brown,286 cm,170 kg,green,TRUE
red,271 cm,164 kg,brown,TRUE
red,249 cm,268 kg,green,TRUE
red,289 cm,131 kg,brown,TRUE
black,250 cm,213 kg,green,TRUE
white,294 cm,207 kg,brown,TRUE
red,235 cm,243 kg,brown,TRUE
grey,255 cm,69 kg,green,TRUE
brown,268 cm,262 kg,blue,TRUE
calico,270 cm,145 kg,blue,TRUE
red,270 cm,203 kg,brown,TRUE
white,247 cm,277 kg,blue,TRUE
red,267 cm,190 kg,brown,TRUE
black,221 cm,260 kg,blue,TRUE
brown,281 cm,138 kg,blue,TRUE
brown,207 cm,104 kg,black,FALSE
calico,226 cm,109 kg,green,TRUE
grey,284 cm,64 kg,green,TRUE
white,237 cm,102 kg,black,TRUE
black,269 cm,90 kg,brown,TRUE
grey,255 cm,92 kg,brown,TRUE
brown,223 cm,78 kg,brown,TRUE
calico,228 cm,84 kg,brown,TRUE
grey,203 cm,242 kg,brown,TRUE
calico,262 cm,142 kg,brown,TRUE
dark grey,218 cm,168 kg,green,FALSE
white,265 cm,276 kg,black,TRUE
black,213 cm,218 kg,blue,FALSE
dark grey,238 cm,96 kg,green,TRUE
white,267 cm,134 kg,green,TRUE
red,271 cm,144 kg,black,TRUE
grey,251 cm,220 kg,black,TRUE
brown,236 cm,234 kg,black,TRUE
white,212 cm,123 kg,green,TRUE
red,200 cm,165 kg,brown,FALSE
white,285 cm,166 kg,green,TRUE
grey,221 cm,174 kg,brown,TRUE
grey,215 cm,74 kg,blue,FALSE
red,254 cm,87 kg,brown,TRUE
dark grey,275 cm,151 kg,green,TRUE
white,213 cm,199 kg,green,TRUE
white,265 cm,142 kg,green,TRUE
brown,206 cm,76 kg,green,FALSE
dark grey,293 cm,276 kg,black,TRUE
calico,295 cm,213 kg,black,TRUE
white,231 cm,144 kg,brown,TRUE
orange,278 cm,247 kg,black,TRUE
dark grey,222 cm,89 kg,brown,TRUE
calico,202 cm,129 kg,brown,FALSE
dark grey,213 cm,191 kg,blue,FALSE
grey,285 cm,260 kg,blue,TRUE
orange,265 cm,277 kg,brown,TRUE
grey,263 cm,222 kg,green,TRUE
orange,290 cm,234 kg,green,TRUE
red,266 cm,153 kg,brown,TRUE
orange,277 cm,80 kg,brown,TRUE
red,280 cm,206 kg,black,TRUE
brown,280 cm,99 kg,green,TRUE
brown,274 cm,118 kg,brown,TRUE
dark grey,235 cm,106 kg,brown,TRUE
red,212 cm,239 kg,black,FALSE
dark grey,254 cm,221 kg,blue,TRUE
brown,207 cm,199 kg,green,FALSE
orange,288 cm,95 kg,black,TRUE
orange,220 cm,155 kg,brown,TRUE
dark grey,204 cm,172 kg,green,FALSE
orange,231 cm,240 kg,green,TRUE
red,290 cm,241 kg,green,TRUE
calico,287 cm,69 kg,blue,TRUE
calico,224 cm,252 kg,green,TRUE
dark grey,216 cm,123 kg,brown,FALSE
black,188 cm,76 kg,brown,FALSE
grey,162 cm,63 kg,black,FALSE
red,197 cm,70 kg,black,FALSE
calico,172 cm,62 kg,green,FALSE
dark grey,177 cm,91 kg,blue,FALSE
white,171 cm,80 kg,black,TRUE
red,173 cm,82 kg,green,FALSE
white,170 cm,80 kg,brown,TRUE
white,164 cm,77 kg,green,TRUE
brown,171 cm,87 kg,brown,FALSE
calico,169 cm,74 kg,black,FALSE
red,183 cm,78 kg,blue,FALSE
dark grey,199 cm,68 kg,black,FALSE
red,160 cm,91 kg,blue,FALSE
orange,194 cm,95 kg,blue,FALSE
red,162 cm,67 kg,brown,FALSE
red,181 cm,76 kg,blue,FALSE
dark grey,199 cm,73 kg,blue,FALSE
red,177 cm,68 kg,blue,FALSE
brown,178 cm,60 kg,green,FALSE
dark grey,194 cm,70 kg,black,FALSE
brown,194 cm,95 kg,blue,FALSE
calico,162 cm,98 kg,brown,FALSE
calico,174 cm,71 kg,brown,FALSE
dark grey,172 cm,91 kg,green,FALSE
calico,168 cm,76 kg,brown,FALSE
brown,179 cm,71 kg,blue,FALSE
calico,182 cm,63 kg,blue,FALSE
black,187 cm,75 kg,black,FALSE
dark grey,188 cm,92 kg,black,FALSE
dark grey,179 cm,96 kg,green,FALSE
black,197 cm,64 kg,brown,FALSE
orange,161 cm,72 kg,green,FALSE
black,188 cm,94 kg,black,FALSE
black,163 cm,88 kg,blue,FALSE
orange,163 cm,62 kg,green,FALSE
black,193 cm,65 kg,green,FALSE
calico,160 cm,91 kg,brown,FALSE
white,161 cm,82 kg,green,TRUE
dark grey,173 cm,92 kg,green,FALSE
calico,174 cm,81 kg,brown,FALSE
brown,161 cm,72 kg,brown,FALSE
calico,193 cm,98 kg,blue,FALSE
red,171 cm,60 kg,green,FALSE
red,168 cm,88 kg,brown,FALSE
brown,184 cm,88 kg,black,FALSE
dark grey,197 cm,66 kg,brown,FALSE
white,164 cm,75 kg,green,TRUE
calico,169 cm,81 kg,brown,FALSE
white,191 cm,84 kg,blue,TRUE
calico,198 cm,64 kg,black,FALSE
grey,180 cm,98 kg,brown,FALSE
brown,178 cm,69 kg,black,FALSE
grey,163 cm,97 kg,green,FALSE
white,162 cm,60 kg,blue,TRUE
orange,182 cm,73 kg,green,FALSE
black,182 cm,87 kg,blue,FALSE
grey,187 cm,75 kg,brown,FALSE
orange,186 cm,84 kg,green,FALSE
dark grey,195 cm,86 kg,green,FALSE
black,180 cm,81 kg,brown,FALSE
calico,184 cm,71 kg,black,FALSE
brown,196 cm,90 kg,black,FALSE
calico,186 cm,92 kg,blue,FALSE
black,184 cm,66 kg,blue,FALSE
dark grey,168 cm,77 kg,black,FALSE
black,199 cm,61 kg,brown,FALSE
dark grey,191 cm,62 kg,black,FALSE
dark grey,169 cm,80 kg,blue,FALSE
dark grey,180 cm,82 kg,brown,FALSE
dark grey,162 cm,81 kg,green,FALSE
dark grey,172 cm,69 kg,green,FALSE
red,181 cm,62 kg,green,FALSE
dark grey,173 cm,98 kg,brown,FALSE
dark grey,172 cm,75 kg,green,FALSE
red,195 cm,69 kg,black,FALSE
red,175 cm,95 kg,brown,FALSE
black,188 cm,97 kg,blue,FALSE
brown,195 cm,77 kg,black,FALSE
white,193 cm,76 kg,green,TRUE
grey,194 cm,84 kg,blue,FALSE
calico,174 cm,92 kg,brown,FALSE
white,166 cm,69 kg,blue,TRUE
black,160 cm,68 kg,brown,FALSE
orange,192 cm,74 kg,blue,FALSE
dark grey,172 cm,97 kg,black,FALSE
red,166 cm,76 kg,brown,FALSE
white,186 cm,98 kg,black,TRUE
calico,194 cm,75 kg,blue,FALSE
calico,198 cm,75 kg,brown,FALSE
dark grey,200 cm,74 kg,black,FALSE
orange,168 cm,87 kg,blue,FALSE
calico,194 cm,65 kg,blue,FALSE
calico,168 cm,79 kg,brown,FALSE
grey,172 cm,71 kg,green,FALSE
brown,198 cm,89 kg,blue,FALSE
black,198 cm,81 kg,brown,FALSE
calico,161 cm,71 kg,black,FALSE
red,182 cm,78 kg,black,FALSE
red,182 cm,94 kg,black,FALSE
black,191 cm,73 kg,green,FALSE
dark grey,199 cm,74 kg,brown,FALSE
orange,200 cm,71 kg,blue,FALSE
black,187 cm,83 kg,blue,FALSE
grey,171 cm,75 kg,green,FALSE
dark grey,160 cm,68 kg,black,FALSE
dark grey,166 cm,68 kg,green,FALSE
black,171 cm,72 kg,blue,FALSE
black,185 cm,82 kg,blue,FALSE
grey,186 cm,71 kg,blue,FALSE
orange,171 cm,64 kg,green,FALSE
red,189 cm,85 kg,green,FALSE
dark grey,183 cm,69 kg,blue,FALSE
red,179 cm,69 kg,blue,FALSE
orange,194 cm,61 kg,green,FALSE
black,185 cm,63 kg,brown,FALSE
brown,192 cm,84 kg,blue,FALSE
dark grey,192 cm,87 kg,blue,FALSE
brown,183 cm,85 kg,black,FALSE
grey,169 cm,68 kg,green,FALSE
white,180 cm,95 kg,brown,TRUE
calico,174 cm,81 kg,black,FALSE
white,188 cm,72 kg,green,TRUE
orange,194 cm,78 kg,blue,FALSE
red,197 cm,79 kg,green,FALSE
dark grey,190 cm,93 kg,black,FALSE
black,177 cm,60 kg,brown,FALSE
brown,162 cm,80 kg,brown,FALSE
orange,167 cm,62 kg,brown,FALSE
brown,171 cm,98 kg,green,FALSE
dark grey,176 cm,71 kg,blue,FALSE
dark grey,187 cm,91 kg,green,FALSE
white,184 cm,90 kg,brown,TRUE
calico,174 cm,84 kg,blue,FALSE
dark grey,189 cm,91 kg,brown,FALSE
dark grey,189 cm,68 kg,green,FALSE
grey,172 cm,96 kg,blue,FALSE
dark grey,168 cm,100 kg,green,FALSE
orange,184 cm,69 kg,brown,FALSE
orange,164 cm,73 kg,blue,FALSE
red,186 cm,79 kg,black,FALSE
calico,175 cm,69 kg,blue,FALSE
black,189 cm,72 kg,black,FALSE
black,188 cm,91 kg,green,FALSE
black,186 cm,97 kg,black,FALSE
grey,182 cm,93 kg,brown,FALSE
black,179 cm,75 kg,brown,FALSE
dark grey,164 cm,89 kg,black,FALSE
brown,191 cm,89 kg,blue,FALSE
grey,185 cm,80 kg,green,FALSE
white,161 cm,91 kg,green,TRUE
calico,168 cm,90 kg,green,FALSE
black,182 cm,63 kg,green,FALSE
white,169 cm,65 kg,green,TRUE
grey,194 cm,88 kg,brown,FALSE
red,194 cm,87 kg,black,FALSE
dark grey,196 cm,85 kg,brown,FALSE
dark grey,197 cm,86 kg,green,FALSE
red,165 cm,100 kg,green,FALSE
grey,192 cm,78 kg,green,FALSE
white,175 cm,87 kg,blue,TRUE
grey,194 cm,78 kg,green,FALSE
orange,187 cm,75 kg,brown,FALSE
calico,174 cm,79 kg,brown,FALSE
red,171 cm,93 kg,green,FALSE
dark grey,193 cm,96 kg,blue,FALSE
red,193 cm,98 kg,green,FALSE
black,193 cm,100 kg,blue,FALSE
white,186 cm,74 kg,blue,TRUE
orange,193 cm,72 kg,blue,FALSE
red,163 cm,78 kg,blue,FALSE
grey,167 cm,76 kg,black,FALSE
grey,163 cm,91 kg,blue,FALSE
white,165 cm,74 kg,black,TRUE
dark grey,188 cm,91 kg,green,FALSE
black,194 cm,94 kg,blue,FALSE
brown,165 cm,60 kg,brown,FALSE
dark grey,172 cm,80 kg,green,FALSE
black,179 cm,77 kg,black,FALSE
orange,163 cm,71 kg,brown,FALSE
grey,179 cm,70 kg,black,FALSE
red,187 cm,71 kg,black,FALSE
calico,187 cm,91 kg,brown,FALSE
dark grey,192 cm,63 kg,black,FALSE
orange,160 cm,81 kg,green,FALSE
dark grey,184 cm,62 kg,blue,FALSE
brown,180 cm,75 kg,black,FALSE
calico,173 cm,73 kg,brown,FALSE
grey,176 cm,67 kg,brown,FALSE
white,194 cm,64 kg,blue,TRUE
red,190 cm,67 kg,brown,FALSE
dark grey,179 cm,71 kg,brown,FALSE
orange,177 cm,84 kg,blue,FALSE
white,165 cm,67 kg,green,TRUE
dark grey,160 cm,67 kg,blue,FALSE
black,182 cm,72 kg,blue,FALSE
dark grey,195 cm,75 kg,blue,FALSE
red,181 cm,67 kg,black,FALSE
grey,196 cm,99 kg,green,FALSE
black,160 cm,92 kg,black,FALSE
orange,194 cm,67 kg,brown,FALSE
black,190 cm,90 kg,black,FALSE
calico,168 cm,74 kg,black,FALSE
black,179 cm,95 kg,blue,FALSE
red,177 cm,83 kg,brown,FALSE
orange,182 cm,76 kg,blue,FALSE
grey,172 cm,61 kg,brown,FALSE
black,191 cm,79 kg,brown,FALSE
white,173 cm,96 kg,green,TRUE
white,162 cm,68 kg,brown,TRUE
grey,186 cm,94 kg,green,FALSE
red,163 cm,98 kg,brown,FALSE
grey,199 cm,68 kg,black,FALSE
black,179 cm,83 kg,green,FALSE
red,175 cm,60 kg,green,FALSE
orange,160 cm,77 kg,green,FALSE
dark grey,167 cm,61 kg,black,FALSE
grey,186 cm,91 kg,blue,FALSE
dark grey,191 cm,83 kg,blue,FALSE
orange,191 cm,89 kg,green,FALSE
white,186 cm,89 kg,green,TRUE
red,166 cm,68 kg,green,FALSE
brown,197 cm,66 kg,black,FALSE
brown,176 cm,71 kg,brown,FALSE
grey,192 cm,94 kg,black,FALSE
dark grey,172 cm,75 kg,black,FALSE
black,195 cm,74 kg,black,FALSE
grey,198 cm,98 kg,brown,FALSE
grey,185 cm,72 kg,blue,FALSE
white,199 cm,99 kg,black,TRUE
brown,173 cm,91 kg,green,FALSE
black,177 cm,98 kg,blue,FALSE
calico,180 cm,92 kg,blue,FALSE
white,191 cm,69 kg,blue,TRUE
red,171 cm,94 kg,green,FALSE
dark grey,178 cm,89 kg,blue,FALSE
red,175 cm,68 kg,green,FALSE
dark grey,175 cm,68 kg,black,FALSE
dark grey,197 cm,96 kg,blue,FALSE
grey,174 cm,92 kg,green,FALSE
grey,163 cm,94 kg,blue,FALSE
calico,161 cm,69 kg,blue,FALSE
red,170 cm,60 kg,blue,FALSE
